"Id-offerta","CIG","oggetto-offerta","data-contratto-offerta","importo-offerta","offerente","data-ricezione-offerta"
"22528","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1297897.74","ARCHEO&RESTAURI SRL","2012-12-11"
"22529","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1401998.52","Brigante Engineering","2012-12-11"
"22530","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"C.I.E.S. COSTRUZIONI INDUSTRIALIZZATE EDILI STRADALI","2012-12-11"
"22531","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1461462.94","CO.GE.P.AR. COSTRUZIONI GENERALI SAS","2012-12-11"
"22532","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"CON.TEC.","2012-12-11"
"22533","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"Consorzio Conpat","2012-12-11"
"22534","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"CONSORZIO NAZIONALE COOPERATIVE DI PRODUZIONE E LAVORO ""CIRO MENOTTI"" SCPA","2012-12-11"
"22535","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1424451.14","Consorzio Stabile Grandi Opere S.c.a.r.l.","2012-12-11"
"22536","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1662803.01","COSTRUZIONI MERIDIONALI srl","2012-12-11"
"22537","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1282555.12","DELL'ACQUA COSTRUZIONI GENERALI s.r.l.","2012-12-11"
"22538","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1489854.03","EDIL CO SRL","2012-12-11"
"22539","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1621271.84","ERAGON CONSORZIO STABILE","2012-12-11"
"22540","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1330132.24","ES SRL PROGETTI E SISTEMI","2012-12-11"
"22541","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"Forte Costruzioni e Restauri","2012-12-11"
"22542","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1393225.33","GI.VI. COSTRUZIONI S.R.L.","2012-12-11"
"22543","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1325647.25","GRUPPO GE.DI. s.r.l.","2012-12-11"
"22544","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1319022.89","HERA RESTAURI S.R.L.","2012-12-11"
"22545","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1505891.34","I.C.G. SRL UNIPERSONALE","2012-12-11"
"22546","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"IMPRESA CENTORE GIUSEPPE","2012-12-11"
"22547","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"IMPRESA INGG MARIO E PAOLO COSENZA SRL","2012-12-11"
"22548","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1330149.37","IMPRESA SICOBE","2012-12-11"
"22549","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1409811.04","INGEGNER ANTONIO POMPA S.R.L.","2012-12-11"
"22550","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"Lande","2012-12-11"
"22551","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1413415.66","LANGELLA s.r.l.","2012-12-11"
"22552","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1370027.71","Lucci Salvatore Impresa di Costruzioni","2012-12-11"
"22553","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1452883.18","M. & A. Costruzioni S.r.l.","2012-12-11"
